Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
,Family Leisure,Economy Class,Berlin to London,September 2018,2.0,2.0,,,2.0,,1,no
Boeing 777,Solo Leisure,Premium Economy,Riyadh to London ,August 2018,5.0,5.0,5.0,4.0,3.0,,5,yes
A320 / Boeing 787-9,Couple Leisure,Economy Class,Rome to Newark via London,September 2018,4.0,4.0,3.0,3.0,4.0,,3,yes
Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,September 2018,3.0,4.0,2.0,3.0,1.0,5.0,3,no
Boeing 777-200,Couple Leisure,First Class,London Heathrow to Dubai,September 2018,4.0,5.0,5.0,3.0,4.0,2.0,4,yes
A320,Couple Leisure,Economy Class,Heraklion to Gatwick,September 2018,2.0,2.0,,,1.0,,1,no
Boeing 767,Solo Leisure,Business Class,Madrid to London Heathrow,September 2018,3.0,5.0,5.0,,5.0,,5,yes
A321,Couple Leisure,Business Class,London Heathrow to Brindisi,September 2018,2.0,3.0,2.0,,2.0,,3,no
A320,Business,Economy Class,London to Madrid,July 2018,2.0,3.0,1.0,,2.0,,2,no
,Couple Leisure,Economy Class,Hamburg to London,September 2018,3.0,1.0,,,1.0,,3,no
Boeing 747,Solo Leisure,Premium Economy,Glasgow to Miami via London,August 2018,3.0,5.0,5.0,2.0,4.0,,4,yes
Airbus A32,Solo Leisure,Economy Class,London Heathrow to Budapest,August 2018,5.0,5.0,,,4.0,,4,yes
A320,Solo Leisure,Economy Class,Budapest to London Heathrow,September 2018,4.0,4.0,,,5.0,,4,yes
A319 / Boeing 787-9,Family Leisure,Business Class,Pisa to Toronto via London,September 2018,4.0,5.0,5.0,4.0,5.0,,5,yes
,Business,Business Class,Madrid to Heathrow,August 2018,1.0,1.0,2.0,,2.0,,2,no
,Solo Leisure,Economy Class,Singapore to London,August 2018,1.0,1.0,3.0,3.0,2.0,,1,no
Boeing 747-400 / A319,Solo Leisure,Economy Class,Washington to Frankfurt via London,August 2018,3.0,3.0,2.0,1.0,4.0,,2,no
,Family Leisure,Economy Class,Rome to London,August 2018,3.0,3.0,,,3.0,,2,no
A380,Solo Leisure,Economy Class,London Heathrow to Hong Kong,August 2018,5.0,5.0,3.0,5.0,4.0,,3,yes
A318,Solo Leisure,Economy Class,London Heathrow to Düsseldorf,August 2018,5.0,4.0,,,5.0,,4,yes
A320,Couple Leisure,Business Class,London to Athens,August 2018,1.0,3.0,2.0,1.0,2.0,1.0,3,no
A380,Family Leisure,First Class,London Heathrow to Singapore,July 2018,5.0,5.0,5.0,4.0,5.0,,5,yes
Boeing 787,Couple Leisure,Premium Economy,Philadelphia to London,August 2018,3.0,1.0,1.0,3.0,4.0,,3,no
Boeing 747-400,Family Leisure,Economy Class,London to Las Vegas,July 2018,1.0,1.0,1.0,1.0,1.0,,1,no
,Business,Business Class,Zagreb to London,August 2018,2.0,2.0,1.0,,2.0,,2,no
A380,Family Leisure,Business Class,Los Angeles to Milan via London,August 2018,4.0,3.0,3.0,3.0,1.0,,1,no
Boeing 777,Solo Leisure,Premium Economy,Toronto to London,August 2018,3.0,5.0,2.0,2.0,4.0,,3,yes
A380,Couple Leisure,Business Class,San Francisco to London Heathrow,July 2018,4.0,5.0,4.0,1.0,4.0,,4,no
,Solo Leisure,Economy Class,London to Dublin,August 2018,5.0,5.0,2.0,,4.0,,3,yes
A321,Couple Leisure,Economy Class,London to Paris,January 2018,3.0,5.0,5.0,,4.0,,3,yes
A320,Couple Leisure,Economy Class,Amsterdam to London,June 2018,3.0,5.0,4.0,,4.0,,4,yes
Boeing 777,Solo Leisure,First Class,New York JFK to London,August 2018,4.0,5.0,3.0,,5.0,,4,no
,Couple Leisure,Economy Class,Amman to London,April 2018,2.0,1.0,1.0,1.0,1.0,,1,no
A320,Couple Leisure,Business Class,Paphos to Gatwick,July 2018,3.0,5.0,3.0,,1.0,,3,no
A320,Couple Leisure,Business Class,Gatwick to Paphos,July 2018,3.0,5.0,4.0,,4.0,,4,yes
Boeing 747-400,Family Leisure,Business Class,New York to Nairobi via London,July 2018,2.0,5.0,2.0,2.0,2.0,,2,no
,Business,Economy Class,Istanbul to London Heathrow,July 2018,1.0,1.0,,1.0,1.0,,1,no
,Family Leisure,Economy Class,Heathrow to Milan,July 2018,3.0,2.0,,,1.0,,1,no
Boeing 787-9,Business,Premium Economy,London to Santiago de Chile,July 2018,4.0,5.0,4.0,4.0,4.0,,5,yes
Boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle Tacoma,July 2018,4.0,4.0,4.0,2.0,4.0,,4,no
A320-200,Family Leisure,Economy Class,London Gatwick to Tirana Rinas,July 2018,4.0,4.0,3.0,,5.0,,3,yes
A320,Couple Leisure,Economy Class,London to Murcia ,July 2018,5.0,5.0,5.0,,3.0,,5,yes
A321,Solo Leisure,Business Class,London to Amsterdam,July 2018,3.0,4.0,3.0,,1.0,,1,no
Boeing 777,Family Leisure,Economy Class,Aberdeen to Abu Dhabi via London,July 2018,3.0,1.0,1.0,4.0,1.0,,3,no
A320 / Boeing 747-400,Solo Leisure,Economy Class,Prague to Denver via London,June 2018,3.0,5.0,5.0,3.0,1.0,,2,no
A319,Couple Leisure,Economy Class,Seville to Gatwick,July 2018,2.0,1.0,1.0,,1.0,,3,no
,Solo Leisure,Economy Class,London to Amsterdam,July 2018,1.0,1.0,,,1.0,,1,no
,Couple Leisure,Business Class,Gatwick to Barcelona ,July 2018,1.0,3.0,1.0,,4.0,,1,no
Boeing 777 / A380,Business,Premium Economy,HKG to LHR,June 2018,4.0,5.0,4.0,5.0,5.0,3.0,4,yes
A320,Solo Leisure,Business Class,Faro to Gatwick,July 2018,3.0,2.0,4.0,,3.0,,4,yes
A320,Solo Leisure,Business Class,Gatwick to Faro,July 2018,3.0,4.0,3.0,,5.0,,4,yes
Boeing 787-9 / A380-800,Solo Leisure,First Class,Jeddah to Chicago via London,May 2018,4.0,5.0,4.0,5.0,1.0,4.0,5,no
,Business,Business Class,London to Frankfurt,July 2018,1.0,1.0,1.0,,1.0,,1,no
A321,Solo Leisure,Business Class,Gatwick to Malaga,July 2018,4.0,5.0,5.0,,3.0,,5,yes
Boeing 777-200,Couple Leisure,Business Class,Bermuda to Gatwick,May 2018,4.0,3.0,1.0,4.0,4.0,,2,yes
,Business,Economy Class,Aberdeen to Boston via London,July 2018,2.0,4.0,4.0,5.0,4.0,4.0,3,yes
A319,Solo Leisure,Economy Class,London to Hamburg,June 2018,4.0,3.0,,,5.0,,3,yes
,Family Leisure,Premium Economy,London Heathrow to Hong Kong,July 2018,3.0,3.0,2.0,3.0,1.0,2.0,2,no
,Couple Leisure,Economy Class,London to Istanbul,June 2018,3.0,3.0,1.0,1.0,1.0,,2,no
A320,Solo Leisure,Economy Class,Munich to London Heathrow,July 2018,4.0,4.0,2.0,,5.0,,3,yes
,Couple Leisure,Business Class,Edinburgh-Florence ,July 2018,4.0,5.0,5.0,,5.0,,5,yes
,Solo Leisure,Economy Class,London Heathrow to Manchester,July 2018,1.0,1.0,1.0,1.0,1.0,1.0,1,no
,Couple Leisure,Economy Class,London to Madrid,July 2018,1.0,,,,1.0,,1,no
Boeing 777,Business,Business Class,London to Shanghai,June 2018,1.0,5.0,4.0,2.0,2.0,,3,no
Boeing 777,Family Leisure,Economy Class,London to Tehran,August 2017,1.0,1.0,1.0,,4.0,,1,no
A321,Couple Leisure,Economy Class,Pisa to London Heathrow,July 2018,1.0,3.0,,,3.0,,2,no
Boeing 747,Business,First Class,London Heathrow to Las Vegas,June 2018,3.0,2.0,2.0,2.0,3.0,2.0,1,no
Boeing 747,Couple Leisure,Economy Class,Dublin to Miami via London,June 2018,1.0,1.0,1.0,,1.0,,1,no
,Family Leisure,Economy Class,Johannesburg to Heathrow,June 2018,1.0,4.0,1.0,4.0,1.0,,1,no
,Couple Leisure,Economy Class,Toronto to London,July 2018,1.0,1.0,1.0,3.0,1.0,,1,no
,Couple Leisure,Business Class,Rome to Gatwick,August 2017,1.0,1.0,1.0,,1.0,,1,no
,Solo Leisure,Premium Economy,Mumbai to Edinburgh via London,June 2018,5.0,5.0,3.0,4.0,5.0,,5,yes
,Solo Leisure,Business Class,Mumbai to London Heathrow,June 2018,2.0,3.0,3.0,4.0,3.0,,1,no
Boeing 747 / 777,Solo Leisure,Premium Economy,Delhi to London,June 2018,4.0,4.0,4.0,4.0,4.0,,4,yes
Boeing 787(9),Couple Leisure,Business Class,Seychelles to London,June 2018,2.0,3.0,3.0,3.0,1.0,,1,no
A320,Couple Leisure,Business Class,Gatwick to Gibraltar,June 2018,5.0,5.0,5.0,,4.0,,4,yes
A380,Business,First Class,London to Vancouver,June 2018,2.0,4.0,2.0,2.0,2.0,,4,no
,Business,Economy Class,Milan to London,June 2018,,,,,,,1,no
Boeing 747,Family Leisure,Economy Class,New York JFK to Rome via London Heathrow,June 2018,3.0,5.0,5.0,5.0,1.0,5.0,1,no
Boeing 777,Business,Business Class,Newark to London Heathrow,June 2018,3.0,1.0,1.0,3.0,4.0,3.0,2,no
Boeing 747 and Boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle,June 2018,4.0,5.0,5.0,4.0,5.0,,3,yes
Boeing 747,Solo Leisure,Economy Class,London to Johannesburg,April 2018,1.0,1.0,1.0,1.0,4.0,1.0,2,no
Boeing 787,Couple Leisure,Premium Economy,Calgary to London,June 2018,1.0,1.0,1.0,2.0,2.0,1.0,2,no
Boeing 767,Business,Economy Class,London to Zurich,June 2018,3.0,2.0,1.0,1.0,4.0,1.0,4,no
Boeing 747,Couple Leisure,Economy Class,Glasgow to New York via London,June 2018,2.0,4.0,4.0,3.0,3.0,,3,no
Boeing 787,Solo Leisure,Economy Class,London Heathrow to Baltimore,June 2018,2.0,3.0,3.0,4.0,4.0,,4,yes
A380 and 747,Couple Leisure,Business Class,London to Johannesburg,February 2018,2.0,3.0,3.0,,3.0,,1,no
,Couple Leisure,Premium Economy,Los Angeles to London,May 2018,1.0,2.0,1.0,3.0,1.0,3.0,1,no
,Couple Leisure,Economy Class,Tampa to London,May 2018,2.0,1.0,1.0,,3.0,,1,no
Boeing 747-400,Couple Leisure,Business Class,Cape Town to London Heathrow,June 2018,2.0,3.0,2.0,2.0,3.0,,3,no
,Solo Leisure,Economy Class,Gatwick to San Jose ,June 2018,3.0,,,,3.0,,2,no
Boeing 777-200 ER,Solo Leisure,Premium Economy,Toronto to London,June 2018,3.0,5.0,4.0,3.0,5.0,,4,yes
Boeing 747-400,Couple Leisure,Economy Class,London to Chicago,April 2018,5.0,5.0,4.0,4.0,4.0,,5,yes
,Business,First Class,Geneva to Vancouver via London,March 2018,4.0,1.0,2.0,3.0,5.0,,1,no
A320,Couple Leisure,Business Class,London Heathrow to Corfu ,May 2018,4.0,5.0,5.0,,4.0,,5,yes
A320,Couple Leisure,Economy Class,Barcelona to Gatwick,June 2018,3.0,1.0,1.0,,3.0,,2,no
,Business,Business Class,Hong Kong to London,June 2018,1.0,1.0,2.0,1.0,3.0,,1,no
Boeing 747 / A320,Solo Leisure,Business Class,Washington to Bucharest via London,May 2018,5.0,5.0,4.0,,5.0,,5,yes
A320,Solo Leisure,Economy Class,London to Warsaw,May 2018,2.0,2.0,,,3.0,,3,no
A320,Solo Leisure,Economy Class,London to Istanbul,May 2018,3.0,5.0,1.0,,2.0,,1,no
Boeing 747-400,Couple Leisure,First Class,London to Cape Town,May 2018,4.0,2.0,4.0,3.0,4.0,,3,yes
Boeing 747,Solo Leisure,First Class,Miami to Hamburg via London,May 2018,3.0,4.0,3.0,,2.0,,1,no
,Solo Leisure,Economy Class,Turin to London Gatwick,May 2018,2.0,3.0,1.0,,1.0,,1,no
,Business,Economy Class,Frankfurt to London Cuty,May 2018,,,,,,,1,no
,Couple Leisure,Economy Class,London to Madrid,May 2018,2.0,1.0,,,1.0,1.0,1,no
A380,Business,Business Class,Los Angeles to London Heathrow,May 2018,1.0,1.0,1.0,1.0,1.0,1.0,1,no
A320,Family Leisure,Economy Class,London Heathrow to Mahon,May 2018,3.0,2.0,,,1.0,,2,no
Boeing 777-200,Business,First Class,Dubai to London Heathrow,May 2018,5.0,5.0,5.0,,5.0,,5,yes
A380,Solo Leisure,Economy Class,London Heathrow to Singapore,May 2018,4.0,3.0,4.0,3.0,4.0,,4,yes
,Couple Leisure,Economy Class,Paris to Newark,May 2018,1.0,1.0,,,1.0,,1,no
,Couple Leisure,Economy Class,Heraklion to Gatwick,May 2018,1.0,3.0,,,1.0,,1,no
Boeing 747 400,Couple Leisure,Premium Economy,Washington to London,May 2018,1.0,4.0,2.0,1.0,2.0,,1,no
A380,Business,Economy Class,Singapore to London,May 2018,4.0,2.0,1.0,1.0,3.0,,4,no
Boeing 777-200,Business,Economy Class,Sydney to London via Singapore,May 2018,4.0,3.0,1.0,1.0,4.0,,4,no
,Couple Leisure,Business Class,Malaga to Gatwick,May 2018,4.0,4.0,4.0,,4.0,,4,yes
,Solo Leisure,Economy Class,Barcelona to Gatwick,May 2018,1.0,1.0,,,1.0,,2,no
A321,Business,Economy Class,Munich to London,May 2018,3.0,5.0,1.0,,3.0,,3,no
A320,Solo Leisure,Economy Class,London to Reykjavik ,May 2018,4.0,4.0,2.0,,4.0,,4,yes
Boeing 747-400,Business,Business Class,Cape Town to London,May 2018,3.0,1.0,1.0,1.0,3.0,,2,no
Boeing 787 / A320,Couple Leisure,Economy Class,Washington to Prague via London,May 2018,1.0,3.0,3.0,4.0,2.0,,3,no
Boeing 747,Solo Leisure,First Class,London to Washington,May 2018,3.0,2.0,2.0,1.0,4.0,,1,no
Boeing 747,Solo Leisure,Economy Class,Washington to Glasgow via London,May 2018,4.0,4.0,3.0,3.0,3.0,,5,yes
,Solo Leisure,Economy Class,London to Montreal,March 2018,3.0,2.0,1.0,2.0,1.0,,1,no
Boeing 777-300ER / A320,Solo Leisure,Economy Class,Tokyo to Amsterdam via London,May 2018,2.0,2.0,1.0,1.0,4.0,,3,no
A320,Business,Business Class,Vienna to London Heathrow,May 2018,3.0,4.0,2.0,,3.0,,3,yes
A320,Solo Leisure,Economy Class,London Heathrow to Vienna,May 2018,1.0,1.0,1.0,2.0,1.0,,1,no
,Couple Leisure,Economy Class,Glasgow to Heathrow,May 2018,1.0,1.0,,,1.0,,1,no
Boeing 747,Business,Business Class,London to Phoenix ,May 2018,4.0,3.0,4.0,1.0,4.0,1.0,4,yes
,Solo Leisure,Economy Class,Glasgow to Heathrow,May 2018,1.0,1.0,,,1.0,,1,no
A319 / Boeing 777,Solo Leisure,Economy Class,Brussels to Shanghai via London,April 2018,5.0,5.0,5.0,4.0,2.0,,5,yes
A380,Solo Leisure,Economy Class,Chicago to London Heathrow,May 2018,4.0,4.0,3.0,3.0,4.0,3.0,3,yes
A320 / Boeing 787,Couple Leisure,Economy Class,Athens to Philadelphia via London,April 2018,4.0,4.0,2.0,4.0,4.0,4.0,3,no
Boeing 777,Couple Leisure,Business Class,Hong Kong to London,April 2018,2.0,5.0,3.0,3.0,4.0,,4,no
A380,Solo Leisure,Business Class,Los Angeles to London Heathrow,April 2018,4.0,5.0,4.0,5.0,5.0,,5,yes
A319 / Boeing 787-8,Solo Leisure,Premium Economy,Hamburg to Abu Dhabi via London ,May 2018,3.0,2.0,2.0,4.0,1.0,,2,no
Boeing 787-8,Family Leisure,Business Class,GIG to LHR,April 2018,4.0,3.0,3.0,4.0,4.0,3.0,3,yes
Boeing 747,Solo Leisure,Premium Economy,London Heathrow to Vancouver,April 2018,1.0,1.0,1.0,2.0,4.0,,2,no
Boeing 767,Business,Business Class,Madrid to London,April 2018,4.0,5.0,4.0,,4.0,,3,yes
,Solo Leisure,Economy Class,Venice to Gatwick,February 2018,3.0,3.0,,,1.0,,1,no
A380,Business,Business Class,Singapore to Dublin via London,March 2018,2.0,5.0,4.0,3.0,2.0,,2,no
,Couple Leisure,Economy Class,London to Budapest,April 2018,3.0,3.0,1.0,1.0,2.0,1.0,1,no
,Business,Economy Class,Florence to London Gatwick,April 2018,,,,,,,1,no
Boeing 777-300,Family Leisure,Business Class,London to Sao Paulo,April 2018,4.0,4.0,4.0,5.0,5.0,4.0,4,yes
Boeing 777,Couple Leisure,Business Class,Tampa to London Gatwick,April 2018,1.0,1.0,1.0,1.0,1.0,1.0,1,no
A319,Business,Business Class,London Heathrow to Dusseldorf,February 2018,1.0,1.0,1.0,,1.0,,1,no
A320,Business,Business Class,Madrid to London,April 2018,2.0,5.0,1.0,,1.0,,1,no
A321,Business,Business Class,London to Moscow,March 2018,1.0,4.0,1.0,,1.0,,2,no
Boeing 747-400,Solo Leisure,Economy Class,Miami to London ,March 2018,4.0,4.0,4.0,4.0,4.0,,4,yes
,Couple Leisure,Economy Class,Gatwick to Barbados,December 2017,2.0,2.0,1.0,2.0,3.0,,2,no
Boeing 747-400,Solo Leisure,Economy Class,London Heathrow to Dallas,April 2018,3.0,3.0,3.0,2.0,3.0,,2,no
A320,Business,Business Class,London to Copenhagen ,April 2018,2.0,3.0,1.0,,3.0,,2,no
,Business,Economy Class,Istanbul to London,April 2018,3.0,3.0,1.0,1.0,2.0,1.0,1,no
A380,Family Leisure,Premium Economy,Los Angeles to London,April 2018,1.0,1.0,2.0,3.0,1.0,1.0,1,no
,Business,Economy Class,Belfast to London ,April 2018,2.0,1.0,1.0,1.0,1.0,1.0,1,no
,Solo Leisure,Economy Class,Naples to Gatwick,April 2018,3.0,2.0,2.0,,2.0,,1,no
Boeing 777-300,Family Leisure,Premium Economy,São Paulo to London Heathrow,April 2018,2.0,1.0,2.0,3.0,2.0,,2,no
,Couple Leisure,Premium Economy,Dallas to Lagos via London Heathrow,February 2018,2.0,2.0,2.0,2.0,1.0,1.0,1,no
A320,Couple Leisure,Economy Class,Budapest to London Heathrow,March 2018,1.0,1.0,,,3.0,,2,no
Boeing 777,Family Leisure,Economy Class,London Heathrow to New York JFK,April 2018,1.0,5.0,2.0,2.0,1.0,,3,no
,Solo Leisure,Economy Class,London to Vienna,December 2017,3.0,4.0,,,1.0,,1,no
Boeing 787-9,Family Leisure,Premium Economy,London Heathrow to Cairo ,April 2018,4.0,5.0,5.0,5.0,5.0,,5,yes
Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,March 2018,2.0,2.0,2.0,3.0,3.0,,1,no
Boeing 777-200,Couple Leisure,Business Class,Fort Lauderdale to Gatwick,March 2018,2.0,3.0,3.0,2.0,3.0,,3,no
Boeing 747,Family Leisure,Business Class,Dubai to London Heathrow,March 2018,4.0,5.0,4.0,3.0,4.0,,4,yes
,Couple Leisure,Economy Class,London to Las Vegas ,March 2018,2.0,4.0,1.0,2.0,2.0,,3,no
,Solo Leisure,Economy Class,Tampa to Gatwick,March 2018,4.0,5.0,5.0,5.0,5.0,,5,yes
A320,Business,Economy Class,Heathrow to Keflavik,March 2018,3.0,4.0,4.0,,5.0,,4,yes
Boeing 787-9,Solo Leisure,First Class,London to Muscat,March 2018,5.0,4.0,4.0,3.0,4.0,,4,yes
,Family Leisure,Economy Class,Cape Town to London,March 2018,2.0,2.0,2.0,1.0,2.0,,1,no
A320,Family Leisure,Business Class,Gatwick to Madeira,March 2018,2.0,4.0,3.0,,2.0,,1,no
,Solo Leisure,Economy Class,London to Casablanca,March 2018,3.0,3.0,,,1.0,,1,no
,Solo Leisure,Economy Class,Berlin to Hong Kong via London,February 2018,3.0,5.0,,,4.0,,4,yes
,Solo Leisure,Economy Class,Hyderabad to Brussels via London,March 2018,3.0,3.0,2.0,2.0,3.0,,1,no
Boeing 777-200,Couple Leisure,Business Class,London Gatwick to Fort Lauderdale ,March 2018,3.0,4.0,4.0,3.0,4.0,,4,yes
,Business,Business Class,Milan to London Heathrow,March 2018,3.0,1.0,,,4.0,,1,no
,Family Leisure,Business Class,London to Helsinki,March 2018,5.0,5.0,5.0,,5.0,,5,yes
,Solo Leisure,Economy Class,London Heathrow to Denver,March 2018,5.0,5.0,5.0,5.0,5.0,,5,yes
,Solo Leisure,Economy Class,Heathrow to Kuala Lumpur,March 2018,3.0,3.0,1.0,2.0,4.0,,1,no
Boeing 777-200,Business,Business Class,Bangkok to London,March 2018,1.0,2.0,1.0,,4.0,,1,no
,Couple Leisure,Business Class,Beijing to London,March 2018,3.0,4.0,4.0,4.0,3.0,,4,yes
,Couple Leisure,Business Class,London to Beijing,March 2018,3.0,2.0,3.0,4.0,3.0,,3,yes
Boeing 777,Couple Leisure,Economy Class,Bangkok to London,March 2018,1.0,2.0,1.0,2.0,1.0,1.0,2,no
Boeing 777,Solo Leisure,Economy Class,Moscow to Heathrow,February 2018,2.0,1.0,1.0,3.0,1.0,1.0,3,no
Boeing 787-9,Business,First Class,London Heathrow to Delhi Airport,October 2017,4.0,1.0,1.0,1.0,2.0,1.0,1,no
,Solo Leisure,Economy Class,Belfast to Lisbon via London,March 2018,3.0,4.0,1.0,,4.0,,2,no
,Solo Leisure,Economy Class,London to Belfast,March 2018,5.0,5.0,,,4.0,,3,no
Boeing 747-400,Business,Economy Class,Miami to London,March 2018,2.0,3.0,3.0,1.0,3.0,1.0,2,no
A320,Business,Business Class,Warsaw to London,March 2018,1.0,4.0,5.0,,4.0,,4,yes
,Solo Leisure,Economy Class,Stockholm to London,March 2018,3.0,3.0,,,3.0,,2,no
,Business,Economy Class,Lisbon to London Heathrow,March 2018,4.0,2.0,2.0,,5.0,,2,no
A380,Business,Premium Economy,Singapore to Heathrow,March 2018,1.0,1.0,1.0,1.0,1.0,,1,no
Boeing 777,Business,Business Class,Chicago to Chennai via London,February 2018,1.0,1.0,1.0,,1.0,,1,no
Boeing 787,Solo Leisure,Economy Class,London Heathrow to Toronto,February 2018,3.0,4.0,3.0,2.0,4.0,,4,yes
A380,Business,Business Class,London to Hong Kong,February 2018,3.0,1.0,1.0,3.0,3.0,1.0,1,no
A380,Solo Leisure,Premium Economy,Miami to London Heathrow,February 2018,5.0,5.0,3.0,5.0,5.0,,5,yes
Boeing 747,Couple Leisure,First Class,London to Phoenix,July 2017,1.0,5.0,1.0,1.0,1.0,1.0,1,no
,Couple Leisure,Business Class,London to Istanbul,February 2018,1.0,2.0,2.0,,2.0,,2,no
A319,Couple Leisure,Economy Class,Edimbourgh to London Gatwick,February 2018,1.0,3.0,,,3.0,,5,no
Boeing 747-400,Business,Business Class,Chicago to London Heathrow,February 2018,1.0,1.0,1.0,1.0,3.0,1.0,1,no
Boeing 757,Solo Leisure,Economy Class,Athens to London,February 2018,3.0,4.0,,2.0,4.0,,5,yes
Boeing 747,Couple Leisure,Premium Economy,London Heathrow to Miami,February 2018,2.0,3.0,2.0,2.0,3.0,,2,no
Boeing 777,Solo Leisure,Economy Class,London to Bombay,December 2017,4.0,5.0,4.0,4.0,3.0,,5,yes
A319/320,Couple Leisure,Business Class,Manchester to Gothenburg via London Heathrow,February 2018,2.0,3.0,2.0,1.0,3.0,1.0,2,no
,Business,Economy Class,London Heathrow to Prague,February 2018,3.0,1.0,,,1.0,,1,no
,Solo Leisure,Economy Class,New Orleans to Hyderabad via London,February 2018,1.0,1.0,1.0,1.0,2.0,,2,no
,Business,Business Class,London to Athens,January 2018,1.0,4.0,2.0,1.0,2.0,1.0,1,no
Boeing 777,Couple Leisure,Economy Class,London Gatwick to Cape Town,February 2018,4.0,3.0,4.0,3.0,4.0,,3,no
,Couple Leisure,Economy Class,Las Vegas to London Heathrow,February 2018,2.0,1.0,1.0,3.0,1.0,1.0,2,no
A321,Solo Leisure,Business Class,Aberdeen to London Heathrow,February 2018,5.0,5.0,5.0,,4.0,,5,yes
A320,Solo Leisure,Business Class,Dusseldorf to London,February 2018,3.0,5.0,5.0,,4.0,,4,yes
Boeing 777,Solo Leisure,Economy Class,Orlando to Gatwick,February 2018,3.0,5.0,1.0,3.0,4.0,,3,no
A380,Solo Leisure,Economy Class,London to Johannesburg,January 2018,5.0,5.0,3.0,5.0,5.0,,4,yes
,Business,Business Class,Chicago to Hyderabad via London Heathrow,February 2018,3.0,4.0,3.0,,3.0,,4,yes
,Solo Leisure,Premium Economy,San Francisco to Hyderabad via London,December 2017,1.0,1.0,,,1.0,,1,no
A319,Business,Economy Class,London to Duesseldorf,January 2018,1.0,1.0,,,1.0,,1,no
,Couple Leisure,Business Class,Rio de Janiero to London,January 2018,2.0,2.0,2.0,2.0,2.0,,1,no
Boeing 777,Solo Leisure,Premium Economy,London to Bengaluru,February 2018,2.0,1.0,1.0,1.0,2.0,,1,no
Boeing 777-300ER,Couple Leisure,Economy Class,Houston to Dublin via London Heathrow,January 2018,3.0,4.0,4.0,5.0,4.0,,5,yes
,Couple Leisure,Economy Class,Reykjavik to London,February 2018,4.0,4.0,1.0,4.0,1.0,4.0,2,no
,Couple Leisure,Economy Class,Bangkok to Lisbon via Heathrow,December 2017,,,,,,,1,no
,Solo Leisure,Economy Class,Johannesburg to Cape Town,January 2018,3.0,3.0,3.0,,3.0,,4,yes
A320,Solo Leisure,Economy Class,London Heathrow to Paris Orly,October 2017,3.0,4.0,,,2.0,,2,no
A320,Solo Leisure,Business Class,London Heathrow to Belfast,January 2018,5.0,4.0,4.0,,4.0,,4,yes
,Couple Leisure,Economy Class,New York to Paris,December 2017,1.0,,,,1.0,,1,no
A380,Business,Business Class,Singapore to Madrid via London Heathrow,January 2018,1.0,2.0,2.0,2.0,1.0,,1,no
Boeing 777,Solo Leisure,Business Class,Gatwick to Tobago,January 2018,3.0,3.0,3.0,2.0,2.0,,3,no
A319,Business,Business Class,London Gatwick to Turin,January 2018,1.0,1.0,2.0,,3.0,,1,no
,Solo Leisure,Economy Class,Warsaw to London Heathrow,January 2018,1.0,1.0,3.0,1.0,1.0,1.0,1,no
,Solo Leisure,Economy Class,London Heathrow to Vancouver,January 2018,3.0,4.0,3.0,,3.0,,3,no
,Couple Leisure,Business Class, London Heathrow to Madrid,January 2018,2.0,4.0,4.0,,2.0,,3,no
A320,Solo Leisure,Economy Class,London to Dusseldorf,December 2017,2.0,4.0,1.0,1.0,1.0,1.0,1,no
,Solo Leisure,Business Class,Johannesburg to London,December 2017,1.0,1.0,1.0,2.0,2.0,,1,no
Boeing 777-200,Couple Leisure,Business Class,London to Bangkok,January 2018,5.0,5.0,5.0,2.0,5.0,2.0,5,yes
A320,Solo Leisure,Business Class,London Gatwick to Rome Fiumicino,December 2017,5.0,5.0,5.0,5.0,5.0,,5,yes
Boeing 787-9,Solo Leisure,Business Class,"San Jose, CA to London Heathrow",January 2018,4.0,5.0,5.0,4.0,3.0,,4,yes
Boeing 777,Business,Business Class,Dubai to London,December 2017,1.0,1.0,1.0,,1.0,,1,no
E170 / A319,Business,Economy Class,London to Düsseldorf,January 2018,3.0,5.0,1.0,,4.0,,2,no
,Family Leisure,Economy Class,New York to London,November 2017,1.0,1.0,2.0,1.0,2.0,1.0,1,no
Boeing 777,Solo Leisure,Economy Class,Bangkok to Aberdeen via Heathrow,January 2018,3.0,4.0,4.0,2.0,4.0,,4,yes
E190,Couple Leisure,Economy Class,Rotterdam to London City,January 2018,5.0,5.0,3.0,,4.0,,5,yes
,Couple Leisure,Economy Class,London to Cape Town,March 2017,1.0,1.0,,,1.0,,3,no
Boeing 747-400,Solo Leisure,First Class,Chicago to London Heathrow,January 2018,5.0,5.0,5.0,5.0,4.0,,5,yes
Boeing 777-200,Couple Leisure,First Class,Toronto to London,January 2018,4.0,4.0,4.0,3.0,3.0,,4,no
Boeing 747,Solo Leisure,Economy Class,Las Vegas to Manchester via London,January 2018,1.0,2.0,1.0,2.0,1.0,,1,no
Boeing 777,Business,Business Class,London to Dubai,January 2018,2.0,1.0,1.0,,3.0,,1,no
